#dataset,iter_no,mypso,ndpso
21,9,0.3550295858,0.1317073171
22,0,3.3636363636,0.6911764706
22,1,3.7,0.6861313869
22,2,3.0204081633,0.6861313869
22,3,2.7407407407,0.6861313869
22,4,2.4262295082,0.6861313869
22,5,5.2857142857,0.6911764706
22,6,3.5238095238,0.7014925373
22,7,5.4814814815,0.6861313869
22,8,2.6909090909,0.6911764706
22,9,2.9019607843,0.6911764706
23,0,0.8028169014,0.1433691756
23,1,0.8028169014,0.1438848921
23,2,0.8028169014,0.1433691756
23,3,0.890625,0.1433691756
23,4,0.5588235294,0.1433691756
23,5,0.890625,0.1438848921
23,6,0.7037037037,0.1433691756
23,7,0.6333333333,0.1454545455
23,8,0.8028169014,0.1433691756
23,9,0.8028169014,0.1433691756
24,0,6,0.2725060827
24,1,1.2363636364,0.2725060827
24,2,1.8888888889,0.2725060827
24,3,5.5135135135,0.2765432099
24,4,1.9805825243,0.2731707317
24,5,2.8732394366,0.2725060827
24,6,2.8732394366,0.2731707317
24,7,6,0.2725060827
24,8,2.9565217391,0.2731707317
24,9,2.8333333333,0.2725060827
25,0,6.8918918919,1.0676691729
25,1,4.1129032258,1.0364963504
25,2,6.0714285714,1.1181102362
25,3,5.4255319149,1.0364963504
25,4,6.5384615385,1.0676691729
25,5,4.4736842105,1.0676691729
25,6,6.5384615385,1.0364963504
25,7,5,1.0676691729
25,8,4.1803278689,1.0364963504
25,9,5.3125,1.0364963504
26,0,2.1962616822,0.4802867384
26,1,1.5878378378,0.4802867384
26,2,1.4596273292,0.4802867384
26,3,2.7976190476,0.4802867384
26,4,1.4596273292,0.4872727273
26,5,1.9105691057,0.4802867384
26,6,1.9583333333,0.4802867384
26,7,1.7669172932,0.4802867384
26,8,1.7669172932,0.4872727273
26,9,1.9583333333,0.4802867384
27,0,0.5511811024,0.1294964029
27,1,0.5147058824,0.1294964029
27,2,0.5833333333,0.1294964029
27,3,0.3181818182,0.135
27,4,0.5072463768,0.1294964029
27,5,0.5511811024,0.1294964029
27,6,0.5072463768,0.1294964029
27,7,0.5511811024,0.1294964029
27,8,0.3645833333,0.1294964029
27,9,0.4022988506,0.1294964029
28,0,0.1837693082,0.4511278195
28,1,0.2070548061,0.4511278195
28,2,1.6913580247,0.5714285714
28,3,0.3416458853,0.4511278195
28,4,0.2279617182,0.4511278195
28,5,0.4029411765,0.4511278195
28,6,1.0873015873,0.4511278195
28,7,0.2734328612,0.4511278195
28,8,1.030075188,0.4511278195
28,9,0.2824779681,0.4511278195
29,0,0.1308900897,0.2641509434
29,1,0.6510416667,0.2641509434
29,2,0.1470588235,0.2641509434
29,3,0.1350400821,0.2641509434
29,4,0.119961614,0.2641509434
29,5,0.156838143,0.2641509434
29,6,0.1653467988,0.2641509434
29,7,0.5102040816,0.2641509434
29,8,0.1243783749,0.2641509434
29,9,0.5896226415,0.2641509434
30,0,0.0776912158,0.1835106383
30,1,0.0818260121,0.1835106383
30,2,0.0505873529,0.1835106383
30,3,0.0993723849,0.1835106383
30,4,0.0484535288,0.1835106383
30,5,0.0789043625,0.1835106383
30,6,0.0634611401,0.1835106383
30,7,0.0575739903,0.1835106383
30,8,0.0636309262,0.1835106383
30,9,0.0627891616,0.1835106383
31,0,0.9268294356,1.34375
31,1,1.00330033,1.1834862385
31,2,3.1666666667,1.2405063291
31,3,2.7889908257,1.1834862385
31,4,2.3384615385,1.34375
31,5,6.6086956522,1.1834862385
31,6,5.7358490566,1.34375
31,7,0.7715738381,1.1834862385
31,8,1.7078651685,1.1834862385
31,9,3.1666666667,1.34375
32,0,0.4495912807,0.520295203
32,1,0.4161412358,0.520295203
32,2,0.296500384,0.520295203
32,3,0.2252487916,0.520295203
32,4,0.2771059006,0.6
32,5,0.3203883496,0.520295203
32,6,1.2177121771,0.6
32,7,0.4308093995,0.520295203
32,8,0.3384615385,0.520295203
32,9,0.325765222,0.520295203
33,0,0.6885813149,0.3324538259
33,1,0.1282207033,0.3324538259
33,2,0.1311799608,0.3324538259
33,3,0.5250659631,0.3324538259
33,4,0.5621468927,0.3324538259
33,5,0.8504273504,0.3324538259
33,6,0.1384829506,0.3324538259
33,7,0.1919032304,0.3324538259
33,8,0.1152954817,0.3324538259
33,9,0.1450437324,0.3324538259
34,0,0.3002540529,0.9618320611
34,1,0.2823244461,0.9618320611
34,2,0.2443977178,0.9618320611
34,3,0.2613446116,0.9618320611
34,4,0.3747982862,0.9618320611
34,5,0.2532049999,0.9618320611
34,6,0.4873513074,0.9618320611
34,7,0.3443691548,0.9618320611
34,8,0.3928002678,0.9618320611
34,9,0.2661164071,0.9618320611
35,0,0.4700678195,0.768115942
35,1,0.3848853544,0.768115942
35,2,0.3029343586,0.768115942
35,3,0.298980721,0.768115942
35,4,0.4674934303,0.768115942
35,5,1.5703703704,0.7851851852
35,6,1.5703703704,0.768115942
35,7,0.4976525822,0.768115942
35,8,0.4189726535,0.768115942
35,9,0.5380710663,0.768115942
36,0,0.949044586,0.3341288783
36,1,0.4156206416,0.3425925926
36,2,0.1774865992,0.3341288783
36,3,0.7112171838,0.3341288783
36,4,0.3183760684,0.3425925926
36,5,2.0839160839,0.3341288783
36,6,0.4752791069,0.376344086
36,7,1.192,0.3341288783
36,8,0.3130285779,0.3425925926
36,9,1.192,0.3341288783
37,0,2.1162790698,0.3435114504
37,1,2.2195121951,0.3435114504
37,2,7,0.3237410072
37,3,5.3529411765,0.3237410072
37,4,2.935483871,0.3435114504
37,5,5.3529411765,0.3237410072
37,6,1.7169811321,0.3435114504
37,7,2.935483871,0.3237410072
37,8,3.3703703704,0.3237410072
37,9,3.3703703704,0.3237410072
38,0,1.4252873563,0.233463035
38,1,1.6315789474,0.2264150943
38,2,1.3052631579,0.2264150943
38,3,2.1016949153,0.2173913043
38,4,0.7798742138,0.2173913043
38,5,2.1016949153,0.2173913043
38,6,1.7222222222,0.2173913043
38,7,1.9682539683,0.2264150943
38,8,1.3052631579,0.2380952381
38,9,1.4939759036,0.2307692308
39,0,1.0166666667,0.0897755611
39,1,0.5648148148,0.0891089109
39,2,0.5648148148,0.0882352941
39,3,0.884057971,0.0891089109
39,4,0.8714285714,0.0880195599
39,5,0.5648148148,0.0882352941
39,6,0.5865384615,0.0880195599
39,7,0.7820512821,0.0882352941
39,8,0.5648148148,0.0880195599
39,9,0.884057971,0.0880195599
40,0,5.4444444444,0.4962406015
40,1,3.1956521739,0.4962406015
40,2,4.0833333333,0.4782608696
40,3,6.125,0.4962406015
40,4,9.8,0.4962406015
40,5,5.88,0.4962406015
40,6,3,0.4782608696
40,7,3.1276595745,0.511627907
40,8,4.59375,0.511627907
40,9,3.1956521739,0.4962406015
41,0,4.0377358491,0.3707865169
41,1,3.1470588235,0.3561151079
41,2,7.6428571429,0.4040816327
41,3,3.014084507,0.3764258555
41,4,2.7792207792,0.3561151079
41,5,7.9259259259,0.4074074074
41,6,4.5531914894,0.3561151079
41,7,4.976744186,0.3707865169
41,8,2.7435897436,0.3764258555
41,9,4.7555555556,0.4040816327
42,0,1.954887218,0.3220338983
42,1,1.954887218,0.3174224344
42,2,2.4761904762,0.3174224344
42,3,4.8148148148,0.3174224344
42,4,2.5742574257,0.3174224344
42,5,3.1325301205,0.3189448441
42,6,3.2911392405,0.3174224344
42,7,4.0625,0.3220338983
42,8,4.0625,0.3189448441
42,9,3.1325301205,0.3174224344
43,0,17.1428571429,1.2446043165
43,1,8.7804878049,1.2814814815
43,2,8.7804878049,1.2446043165
43,3,12.8571428571,1.2814814815
43,4,11.25,1.2814814815
43,5,12.8571428571,1.2446043165
43,6,8.1818181818,1.2446043165
43,7,8,1.2446043165
43,8,6.7924528302,1.2446043165
43,9,6.7924528302,1.2446043165
44,0,5.5147058824,0.7184115523
44,1,4.2613636364,0.7184115523
44,2,3.3783783784,0.7184115523
44,3,7.6530612245,0.7184115523
44,4,5.7692307692,0.7537878788
44,5,10.4166666667,0.7184115523
44,6,5.3571428571,0.7743190661
44,7,4.8701298701,0.7184115523
44,8,3.7878787879,0.7453183521
44,9,5.9523809524,0.7537878788
45,0,3.3043478261,0.3638554217
45,1,3.7623762376,0.3595238095
45,2,3.3628318584,0.3595238095
45,3,3.064516129,0.3756218905
45,4,3.0158730159,0.3595238095
45,5,3.064516129,0.3612440191
45,6,3.064516129,0.3621103118
45,7,2.7338129496,0.3595238095
45,8,2.7142857143,0.3595238095
45,9,3.3628318584,0.3612440191
46,0,3.3333333333,0.4776119403
46,1,3.0612244898,0.496124031
46,2,4.4117647059,0.4776119403
46,3,4.0540540541,0.4776119403
46,4,4.0540540541,0.4740740741
46,5,4.2857142857,0.5
46,6,4.2857142857,0.4671532847
46,7,4.4117647059,0.4671532847
46,8,3.9473684211,0.4740740741
46,9,5.5555555556,0.5203252033
47,0,1.2054794521,0.1612903226
47,1,1.2394366197,0.1636363636
47,2,1.2394366197,0.1666666667
47,3,1.2054794521,0.1666666667
47,4,0.8073394495,0.1666666667
47,5,1.3333333333,0.1612903226
47,6,0.88,0.1612903226
47,7,0.9462365591,0.1612903226
47,8,1.2222222222,0.1612903226
47,9,0.862745098,0.1612903226
48,0,0.9272727273,0.1145584726
48,1,2.6153846154,0.1188118812
48,2,1.3076923077,0.1197007481
48,3,2.2173913043,0.1145584726
48,4,1.2142857143,0.1145584726
48,5,1.2289156627,0.1145584726
48,6,2.170212766,0.1145584726
48,7,2.2173913043,0.1188118812
48,8,1.3076923077,0.1188118812
48,9,0.796875,0.1188118812
49,0,3.3617021277,0.4592592593
49,1,4.5142857143,0.4592592593
49,2,3.0980392157,0.484375
49,3,4.5142857143,0.4592592593
49,4,4.0512820513,0.4592592593
49,5,5.8518518519,0.4592592593
49,6,4.0512820513,0.4592592593
49,7,3.95,0.4592592593
49,8,4.0512820513,0.4592592593
49,9,7.5238095238,0.4592592593
50,0,5.2549019608,0.5018050542
50,1,5.7021276596,0.5325670498
50,2,7.2432432432,0.5091575092
50,3,4.0606060606,0.5018050542
50,4,4.4666666667,0.5148148148
50,5,3.5733333333,0.5018050542
50,6,6.2325581395,0.5091575092
50,7,4.0606060606,0.5018050542
50,8,4.4666666667,0.5018050542
50,9,4.253968254,0.5018050542
51,0,3.1449275362,0.2126582278
51,1,2.1067961165,0.2024096386
51,2,4.4285714286,0.2024096386
51,3,2.2142857143,0.2089552239
51,4,4.5208333333,0.2024096386
51,5,3.1449275362,0.2068965517
51,6,3.1449275362,0.2024096386
51,7,3.4444444444,0.2068965517
51,8,2.0471698113,0.2053789731
51,9,3.4444444444,0.2068965517
52,0,11.8536585366,1.3669064748
52,1,13.5,1.3768115942
52,2,11.8536585366,1.3669064748
52,3,16.7586206897,1.3868613139
52,4,18,1.3669064748
52,5,20.25,1.3768115942
52,6,16.7586206897,1.3768115942
52,7,28.5882352941,1.3669064748
52,8,10.5652173913,1.40625
52,9,28.5882352941,1.3669064748
53,0,7.8918918919,0.5724637681
53,1,4.231884058,0.5851851852
53,2,4.3582089552,0.5724637681
53,3,7.3,0.5808823529
53,4,4.3582089552,0.5808823529
53,5,4.3582089552,0.6030534351
53,6,6.7906976744,0.5724637681
53,7,5.4074074074,0.5851851852
53,8,7.3,0.5808823529
53,9,5.9591836735,0.5808823529
54,0,2.2643678161,0.4014423077
54,1,2.698630137,0.4014423077
54,2,3.7884615385,0.4024096386
54,3,1.7130434783,0.4014423077
54,4,1.7589285714,0.4014423077
54,5,5.6285714286,0.4024096386
54,6,2.698630137,0.4014423077
54,7,5.7941176471,0.4014423077
54,8,2.2643678161,0.4024096386
54,9,2.0957446809,0.4014423077
55,0,0.3767447688,0.5213675214
55,1,2.0948275862,0.5213675214
55,2,0.2924125002,0.525862069
55,3,0.5472972973,0.525862069
55,4,0.2639829741,0.5213675214
55,5,2.0769230769,0.5213675214
55,6,0.287059453,0.525862069
55,7,0.3808869853,0.5213675214
55,8,0.3259910534,0.5213675214
55,9,0.3073095289,0.5213675214
56,0,2.320754717,0.3878787879
56,1,0.4361702128,0.3062200957
56,2,1.1441860465,0.3033175355
56,3,0.2946107784,0.2976744186
56,4,1.6078431373,0.2796208531
56,5,1.1770334928,0.2744186047
56,6,0.3215686282,0.2909090909
56,7,0.2442900112,0.3033175355
56,8,1.1770334928,0.3062200957
56,9,0.1954728834,0.2976744186
57,0,0.1006645295,0.1095890411
57,1,0.5397260274,0.1078947368
57,2,0.5880597015,0.1131578947
57,3,0.1261203595,0.1051344743
57,4,0.5397260274,0.1052631579
57,5,0.7010676157,0.1131578947
57,6,0.0703956301,0.1061728395
57,7,0.7010676157,0.1078947368
57,8,0.5397260274,0.1131578947
57,9,0.0801489852,0.1051344743
58,0,8.7636363636,0.9693877551
58,1,10.7111111111,1.036036036
58,2,1.8538461539,1.036036036
58,3,7.6507936508,1.0648148148
58,4,11.4761904762,1.1734693878
58,5,4.462962963,1.0102040816
58,6,4.462962963,0.9693877551
58,7,10.7111111111,0.9523809524
58,8,10.7111111111,0.9285714286
58,9,4.462962963,0.9693877551
59,0,0.3200761928,0.4787234043
59,1,2.6060606061,0.5251141553
59,2,1.9282511211,0.5156950673
59,3,2.349726776,0.4787234043
59,4,0.3887320597,0.4371584699
59,5,0.3932221794,0.4212454212
59,6,3.5245901639,0.4212454212
59,7,3.1851851852,0.4255319149
59,8,2.2872340426,0.4371584699
59,9,2.6060606061,0.4212454212
60,0,1.0050761421,0.3578680203
60,1,1.3112582781,0.3884297521
60,2,1.0909090909,0.3578680203
60,3,1.1511627907,0.3578680203
60,4,1.1820895522,0.4098837209
60,5,1.0909090909,0.3578680203
60,6,0.4221748401,0.3578680203
60,7,1.0909090909,0.3578680203
60,8,1.4193548387,0.3884297521
60,9,0.4464487035,0.3578680203
61,0,0.9362292197,1.704
61,1,1.3202631172,1.7317073171
61,2,0.8275288154,1.704
61,3,1.1119902225,1.7899159664
61,4,0.8022041112,1.704
61,5,0.7994695986,1.704
61,6,7.0924369748,1.704
61,7,1.0740728083,1.7317073171
61,8,0.7340609257,1.704
61,9,0.6921787972,1.704
62,0,7.2416666667,0.8158995816
62,1,3.6359832636,0.8117154812
62,2,7.2416666667,0.8117154812
62,3,7.2416666667,0.8158995816
62,4,3.8451327434,0.97
62,5,3.8451327434,0.7959183673
62,6,4.0418604651,0.8325581395
62,7,4.9942528736,0.8628318584
62,8,13.3692307692,0.97
62,9,4.9942528736,0.8628318584
63,0,3.183745583,0.5
63,1,2.1452380952,0.5
63,2,3.2527075812,0.5
63,3,2.3773087071,0.5
63,4,0.3586895992,0.527638191
63,5,2.5027777778,0.5
63,6,0.5005556081,0.5833333333
63,7,2.3835978836,0.5540897098
63,8,3.183745583,0.5540897098
63,9,2.3773087071,0.5
64,0,6,0.503649635
64,1,2.2857142857,0.4964028777
64,2,4.4651162791,0.4964028777
64,3,10.1052631579,0.4964028777
64,4,4.5714285714,0.5111111111
64,5,3.9183673469,0.4964028777
64,6,9.6,0.4964028777
64,7,10.6666666667,0.4964028777
64,8,6,0.4964028777
64,9,13.7142857143,0.4964028777
65,0,4.5490196078,0.2547528517
65,1,5.6585365854,0.2509363296
65,2,3.2676056338,0.29004329
65,3,5.6585365854,0.2827004219
65,4,5.9487179487,0.2509363296
65,5,2.4421052632,0.2509363296
65,6,2.0350877193,0.2509363296
65,7,3.2676056338,0.2827004219
65,8,2.0530973451,0.2734693878
65,9,5.0434782609,0.2586872587
66,0,0.8044444444,0.1073170732
66,1,0.6753731343,0.1073170732
66,2,0.8044444444,0.1136950904
66,3,1.1677419355,0.1083743842
66,4,0.8457943925,0.1119592875
66,5,0.896039604,0.1073170732
66,6,0.7669491525,0.1108108108
66,7,0.6753731343,0.1148825065
66,8,0.724,0.1083743842
66,9,0.6703703704,0.1073170732
67,0,12.6842105263,0.9327731092
67,1,12.6842105263,0.9473684211
67,2,11.4761904762,0.828358209
67,3,11.2093023256,0.9327731092
67,4,22.9523809524,0.8372093023
67,5,7.7741935484,0.8372093023
67,6,10.2553191489,0.9568965517
67,7,8.6071428571,0.9075630252
67,8,7.7741935484,0.8604651163
67,9,8.6071428571,0.8372093023
68,0,1.5139664804,0.2988047809
68,1,3.8169014085,0.2798507463
68,2,3.2261904762,0.2688172043
68,3,3.1511627907,0.29296875
68,4,1.5139664804,0.29296875
68,5,2.7653061224,0.2688172043
68,6,2.71,0.29296875
68,7,3.2261904762,0.2688172043
68,8,3.2261904762,0.2688172043
68,9,2.2213114754,0.29296875
69,0,4.0700636943,0.3506493506
69,1,3.5698324022,0.3824362606
69,2,3.5698324022,0.3505154639
69,3,7.6987951807,0.3506493506
69,4,4.0700636943,0.3577023499
69,5,4.3767123288,0.3577023499
69,6,3.028436019,0.3532467532
69,7,3.5303867403,0.3578947368
69,8,3.6936416185,0.3550913838
69,9,5.112,0.3530927835
70,0,26.8571428571,1.3953488372
70,1,12.3278688525,1.4
70,2,15.6666666667,1.3953488372
70,3,23.5,1.3043478261
70,4,19.7894736842,1.4285714286
70,5,12.3278688525,1.5652173913
70,6,11.223880597,1.3043478261
70,7,20.3243243243,1.3043478261
70,8,20.3243243243,1.3953488372
70,9,11.223880597,1.4285714286
71,0,5.7477477477,0.7364341085
71,1,4.4615384615,0.7063197026
71,2,6.0188679245,0.7063197026
71,3,6.2549019608,0.695970696
71,4,5.8532110092,0.695970696
71,5,5.5,0.695970696
71,6,6.1346153846,0.695970696
71,7,4.4,0.7063197026
71,8,4.8702290076,0.7063197026
71,9,6.1346153846,0.695970696
72,0,4.7092198582,0.4400977995
72,1,5.5333333333,0.4400977995
72,2,4.9185185185,0.4632152589
72,3,8.4050632911,0.4787234043
72,4,5.5333333333,0.4787234043
72,5,2.7782426778,0.4521276596
72,6,4.9185185185,0.4400977995
72,7,4.7092198582,0.4400977995
72,8,5.2698412698,0.4521276596
72,9,4.9185185185,0.4904632153
73,0,5.3939393939,0.3203125
73,1,5.5625,0.328125
73,2,5.3939393939,0.3157894737
73,3,5.5625,0.3157894737
73,4,5.9333333333,0.3157894737
73,5,5.5625,0.3157894737
73,6,7.4166666667,0.3153846154
73,7,3.8695652174,0.3059701493
73,8,3.8695652174,0.3157894737
73,9,6.1379310345,0.3059701493
74,0,6.3333333333,0.2681992337
74,1,8.3823529412,0.2692307692
74,2,4.2537313433,0.2661596958
74,3,5.1818181818,0.2661596958
74,4,4.5967741935,0.2661596958
74,5,15.8333333333,0.2621722846
74,6,6.7857142857,0.2661596958
74,7,4.9137931034,0.2621722846
74,8,4.9137931034,0.2671755725
74,9,5.1818181818,0.2621722846
75,0,1.593495935,0.1621621622
75,1,2.2528735632,0.1778975741
75,2,1.5806451613,0.1679389313
75,3,2.8405797101,0.1679389313
75,4,2,0.1621621622
75,5,1.8148148148,0.1679389313
75,6,3.5636363636,0.1788617886
75,7,3.1111111111,0.1696658098
75,8,3.7692307692,0.1827242525
75,9,1.9029126214,0.1946902655
76,0,9.5945945946,1.0074074074
76,1,16.1363636364,1.0074074074
76,2,22.1875,1.0303030303
76,3,11.09375,1.088
76,4,22.1875,1.0303030303
76,5,16.1363636364,1.0303030303
76,6,9.5945945946,1.0303030303
76,7,16.1363636364,1.0074074074
76,8,10.7575757576,1.0074074074
76,9,19.7222222222,1.0074074074
77,0,1.8053097345,0.3308550186
77,1,2.9142857143,0.3396946565
77,2,2.9142857143,0.3201438849
77,3,2.1473684211,0.3201438849
77,4,1.8053097345,0.3308550186
77,5,1.5111111111,0.3201438849
77,6,1.2515337423,0.3201438849
77,7,3.5172413793,0.3201438849
77,8,2.1473684211,0.3396946565
77,9,2.2921348315,0.3201438849
78,0,5.4637681159,0.2804878049
78,1,4.8333333333,0.2980501393
78,2,4.8333333333,0.3050397878
78,3,6.5,0.2804878049
78,4,2.8560606061,0.2798053528
78,5,6.5,0.2832512315
78,6,7.25,0.2804878049
78,7,2.1791907514,0.2832512315
78,8,4.8333333333,0.2798053528
78,9,3.2222222222,0.2804878049
79,0,26.4761904762,1.3412698413
79,1,18.5333333333,1.3412698413
79,2,15.027027027,1.3412698413
79,3,23.1666666667,1.2426470588
79,4,23.1666666667,1.2426470588
79,5,19.1724137931,1.2426470588
79,6,15.4444444444,1.3412698413
79,7,16.8484848485,1.2426470588
79,8,17.935483871,1.3
79,9,17.935483871,1.2426470588
80,0,13.7540983607,0.7773722628
80,1,10.1084337349,0.7773722628
80,2,10.7564102564,0.8130081301
80,3,11.1866666667,0.7773722628
80,4,13.109375,0.8385826772
80,5,10.7564102564,0.8223938224
80,6,11.1866666667,0.7773722628
