"id";"dataset_constants";"task_hetero";"machine_hetero";"no_tasks_dist";"no_tasks";"no_machines_dist";"no_machines"
64;1;"low";"low";"high";6;"medium";56
65;1;"low";"medium";"high";6;"medium";56
66;1;"low";"high";"high";6;"medium";56
67;1;"medium";"low";"high";6;"medium";56
68;1;"medium";"medium";"high";6;"medium";56
69;1;"medium";"high";"high";6;"medium";56
70;1;"high";"low";"high";6;"medium";56
71;1;"high";"medium";"high";6;"medium";56
72;1;"high";"high";"high";6;"medium";56
73;1;"low";"low";"high";6;"high";75
74;1;"low";"medium";"high";6;"high";75
75;1;"low";"high";"high";6;"high";75
76;1;"medium";"low";"high";6;"high";75
77;1;"medium";"medium";"high";6;"high";75
78;1;"medium";"high";"high";6;"high";75
79;1;"high";"low";"high";6;"high";75
80;1;"high";"medium";"high";6;"high";75
81;1;"high";"high";"high";6;"high";75
82;2;"low";"low";"low";17;"low";1
83;2;"low";"medium";"low";17;"low";1
84;2;"low";"high";"low";17;"low";1
85;2;"medium";"low";"low";17;"low";1
86;2;"medium";"medium";"low";17;"low";1
87;2;"medium";"high";"low";17;"low";1
88;2;"high";"low";"low";17;"low";1
89;2;"high";"medium";"low";17;"low";1
90;2;"high";"high";"low";17;"low";1
91;2;"low";"low";"low";17;"medium";6
92;2;"low";"medium";"low";17;"medium";6
93;2;"low";"high";"low";17;"medium";6
94;2;"medium";"low";"low";17;"medium";6
95;2;"medium";"medium";"low";17;"medium";6
96;2;"medium";"high";"low";17;"medium";6
97;2;"high";"low";"low";17;"medium";6
98;2;"high";"medium";"low";17;"medium";6
99;2;"high";"high";"low";17;"medium";6
100;2;"low";"low";"low";17;"high";8
101;2;"low";"medium";"low";17;"high";8
102;2;"low";"high";"low";17;"high";8
103;2;"medium";"low";"low";17;"high";8
104;2;"medium";"medium";"low";17;"high";8
105;2;"medium";"high";"low";17;"high";8
106;2;"high";"low";"low";17;"high";8
107;2;"high";"medium";"low";17;"high";8
108;2;"high";"high";"low";17;"high";8
109;2;"low";"low";"medium";29;"low";2
110;2;"low";"medium";"medium";29;"low";2
111;2;"low";"high";"medium";29;"low";2
112;2;"medium";"low";"medium";29;"low";2
113;2;"medium";"medium";"medium";29;"low";2
114;2;"medium";"high";"medium";29;"low";2
115;2;"high";"low";"medium";29;"low";2
116;2;"high";"medium";"medium";29;"low";2
117;2;"high";"high";"medium";29;"low";2
118;2;"low";"low";"medium";29;"medium";7
119;2;"low";"medium";"medium";29;"medium";7
120;2;"low";"high";"medium";29;"medium";7
121;2;"medium";"low";"medium";29;"medium";7
122;2;"medium";"medium";"medium";29;"medium";7
123;2;"medium";"high";"medium";29;"medium";7
124;2;"high";"low";"medium";29;"medium";7
125;2;"high";"medium";"medium";29;"medium";7
126;2;"high";"high";"medium";29;"medium";7
127;2;"low";"low";"medium";29;"high";8
128;2;"low";"medium";"medium";29;"high";8
129;2;"low";"high";"medium";29;"high";8
130;2;"medium";"low";"medium";29;"high";8
131;2;"medium";"medium";"medium";29;"high";8
132;2;"medium";"high";"medium";29;"high";8
133;2;"high";"low";"medium";29;"high";8
134;2;"high";"medium";"medium";29;"high";8
135;2;"high";"high";"medium";29;"high";8
136;2;"low";"low";"high";55;"low";1
137;2;"low";"medium";"high";55;"low";1
138;2;"low";"high";"high";55;"low";1
139;2;"medium";"low";"high";55;"low";1
140;2;"medium";"medium";"high";55;"low";1
141;2;"medium";"high";"high";55;"low";1
142;2;"high";"low";"high";55;"low";1
143;2;"high";"medium";"high";55;"low";1
144;2;"high";"high";"high";55;"low";1
145;2;"low";"low";"high";55;"medium";6
146;2;"low";"medium";"high";55;"medium";6
147;2;"low";"high";"high";55;"medium";6
148;2;"medium";"low";"high";55;"medium";6
149;2;"medium";"medium";"high";55;"medium";6
150;2;"medium";"high";"high";55;"medium";6
151;2;"high";"low";"high";55;"medium";6
152;2;"high";"medium";"high";55;"medium";6
153;2;"high";"high";"high";55;"medium";6
154;2;"low";"low";"high";55;"high";6
155;2;"low";"medium";"high";55;"high";6
156;2;"low";"high";"high";55;"high";6
157;2;"medium";"low";"high";55;"high";6
158;2;"medium";"medium";"high";55;"high";6
159;2;"medium";"high";"high";55;"high";6
160;2;"high";"low";"high";55;"high";6
161;2;"high";"medium";"high";55;"high";6
162;2;"high";"high";"high";55;"high";6
163;3;"low";"low";"low";5;"low";8
164;3;"low";"medium";"low";5;"low";8
165;3;"low";"high";"low";5;"low";8
166;3;"medium";"low";"low";5;"low";8
167;3;"medium";"medium";"low";5;"low";8
168;3;"medium";"high";"low";5;"low";8
169;3;"high";"low";"low";5;"low";8
170;3;"high";"medium";"low";5;"low";8
171;3;"high";"high";"low";5;"low";8
172;3;"low";"low";"low";5;"medium";26
173;3;"low";"medium";"low";5;"medium";26
174;3;"low";"high";"low";5;"medium";26
175;3;"medium";"low";"low";5;"medium";26
176;3;"medium";"medium";"low";5;"medium";26
177;3;"medium";"high";"low";5;"medium";26
178;3;"high";"low";"low";5;"medium";26
179;3;"high";"medium";"low";5;"medium";26
180;3;"high";"high";"low";5;"medium";26
181;3;"low";"low";"low";5;"high";21
182;3;"low";"medium";"low";5;"high";21
183;3;"low";"high";"low";5;"high";21
184;3;"medium";"low";"low";5;"high";21
185;3;"medium";"medium";"low";5;"high";21
186;3;"medium";"high";"low";5;"high";21
187;3;"high";"low";"low";5;"high";21
188;3;"high";"medium";"low";5;"high";21
189;3;"high";"high";"low";5;"high";21
190;3;"low";"low";"medium";8;"low";6
191;3;"low";"medium";"medium";8;"low";6
192;3;"low";"high";"medium";8;"low";6
193;3;"medium";"low";"medium";8;"low";6
194;3;"medium";"medium";"medium";8;"low";6
195;3;"medium";"high";"medium";8;"low";6
196;3;"high";"low";"medium";8;"low";6
197;3;"high";"medium";"medium";8;"low";6
198;3;"high";"high";"medium";8;"low";6
199;3;"low";"low";"medium";8;"medium";24
200;3;"low";"medium";"medium";8;"medium";24
201;3;"low";"high";"medium";8;"medium";24
202;3;"medium";"low";"medium";8;"medium";24
203;3;"medium";"medium";"medium";8;"medium";24
204;3;"medium";"high";"medium";8;"medium";24
205;3;"high";"low";"medium";8;"medium";24
206;3;"high";"medium";"medium";8;"medium";24
207;3;"high";"high";"medium";8;"medium";24
208;3;"low";"low";"medium";8;"high";20
209;3;"low";"medium";"medium";8;"high";20
210;3;"low";"high";"medium";8;"high";20
211;3;"medium";"low";"medium";8;"high";20
212;3;"medium";"medium";"medium";8;"high";20
213;3;"medium";"high";"medium";8;"high";20
214;3;"high";"low";"medium";8;"high";20
215;3;"high";"medium";"medium";8;"high";20
216;3;"high";"high";"medium";8;"high";20
217;3;"low";"low";"high";13;"low";5
218;3;"low";"medium";"high";13;"low";5
219;3;"low";"high";"high";13;"low";5
220;3;"medium";"low";"high";13;"low";5
221;3;"medium";"medium";"high";13;"low";5
222;3;"medium";"high";"high";13;"low";5
223;3;"high";"low";"high";13;"low";5
224;3;"high";"medium";"high";13;"low";5
225;3;"high";"high";"high";13;"low";5
226;3;"low";"low";"high";13;"medium";23
227;3;"low";"medium";"high";13;"medium";23
228;3;"low";"high";"high";13;"medium";23
229;3;"medium";"low";"high";13;"medium";23
230;3;"medium";"medium";"high";13;"medium";23
231;3;"medium";"high";"high";13;"medium";23
232;3;"high";"low";"high";13;"medium";23
233;3;"high";"medium";"high";13;"medium";23
234;3;"high";"high";"high";13;"medium";23
235;3;"low";"low";"high";13;"high";23
236;3;"low";"medium";"high";13;"high";23
237;3;"low";"high";"high";13;"high";23
238;3;"medium";"low";"high";13;"high";23
239;3;"medium";"medium";"high";13;"high";23
240;3;"medium";"high";"high";13;"high";23
241;3;"high";"low";"high";13;"high";23
242;3;"high";"medium";"high";13;"high";23
243;3;"high";"high";"high";13;"high";23
244;4;"low";"low";"low";1;"low";20
245;4;"low";"medium";"low";1;"low";20
246;4;"low";"high";"low";1;"low";20
247;4;"medium";"low";"low";1;"low";20
248;4;"medium";"medium";"low";1;"low";20
249;4;"medium";"high";"low";1;"low";20
250;4;"high";"low";"low";1;"low";20
251;4;"high";"medium";"low";1;"low";20
252;4;"high";"high";"low";1;"low";20
253;4;"low";"low";"low";1;"medium";70
254;4;"low";"medium";"low";1;"medium";70
255;4;"low";"high";"low";1;"medium";70
256;4;"medium";"low";"low";1;"medium";70
257;4;"medium";"medium";"low";1;"medium";70
258;4;"medium";"high";"low";1;"medium";70
259;4;"high";"low";"low";1;"medium";70
260;4;"high";"medium";"low";1;"medium";70
261;4;"high";"high";"low";1;"medium";70
262;4;"low";"low";"low";1;"high";73
263;4;"low";"medium";"low";1;"high";73
264;4;"low";"high";"low";1;"high";73
265;4;"medium";"low";"low";1;"high";73
266;4;"medium";"medium";"low";1;"high";73
267;4;"medium";"high";"low";1;"high";73
268;4;"high";"low";"low";1;"high";73
269;4;"high";"medium";"low";1;"high";73
270;4;"high";"high";"low";1;"high";73
271;4;"low";"low";"medium";1;"low";25
272;4;"low";"medium";"medium";1;"low";25
273;4;"low";"high";"medium";1;"low";25
274;4;"medium";"low";"medium";1;"low";25
275;4;"medium";"medium";"medium";1;"low";25
276;4;"medium";"high";"medium";1;"low";25
277;4;"high";"low";"medium";1;"low";25
278;4;"high";"medium";"medium";1;"low";25
279;4;"high";"high";"medium";1;"low";25
280;4;"low";"low";"medium";1;"medium";67
281;4;"low";"medium";"medium";1;"medium";67
282;4;"low";"high";"medium";1;"medium";67
283;4;"medium";"low";"medium";1;"medium";67
284;4;"medium";"medium";"medium";1;"medium";67
285;4;"medium";"high";"medium";1;"medium";67
286;4;"high";"low";"medium";1;"medium";67
287;4;"high";"medium";"medium";1;"medium";67
288;4;"high";"high";"medium";1;"medium";67
289;4;"low";"low";"medium";1;"high";76
290;4;"low";"medium";"medium";1;"high";76
291;4;"low";"high";"medium";1;"high";76
292;4;"medium";"low";"medium";1;"high";76
293;4;"medium";"medium";"medium";1;"high";76
294;4;"medium";"high";"medium";1;"high";76
295;4;"high";"low";"medium";1;"high";76
296;4;"high";"medium";"medium";1;"high";76
297;4;"high";"high";"medium";1;"high";76
298;4;"low";"low";"high";2;"low";1
299;4;"low";"medium";"high";2;"low";1
300;4;"low";"high";"high";2;"low";1
301;4;"medium";"low";"high";2;"low";1
302;4;"medium";"medium";"high";2;"low";1
303;4;"medium";"high";"high";2;"low";1
304;4;"high";"low";"high";2;"low";1
305;4;"high";"medium";"high";2;"low";1
306;4;"high";"high";"high";2;"low";1
307;4;"low";"low";"high";2;"medium";69
308;4;"low";"medium";"high";2;"medium";69
309;4;"low";"high";"high";2;"medium";69
310;4;"medium";"low";"high";2;"medium";69
311;4;"medium";"medium";"high";2;"medium";69
312;4;"medium";"high";"high";2;"medium";69
313;4;"high";"low";"high";2;"medium";69
314;4;"high";"medium";"high";2;"medium";69
315;4;"high";"high";"high";2;"medium";69
316;4;"low";"low";"high";2;"high";59
317;4;"low";"medium";"high";2;"high";59
318;4;"low";"high";"high";2;"high";59
319;4;"medium";"low";"high";2;"high";59
320;4;"medium";"medium";"high";2;"high";59
321;4;"medium";"high";"high";2;"high";59
322;4;"high";"low";"high";2;"high";59
323;4;"high";"medium";"high";2;"high";59
324;4;"high";"high";"high";2;"high";59
325;5;"low";"low";"low";1;"low";1
326;5;"low";"medium";"low";1;"low";1
327;5;"low";"high";"low";1;"low";1
328;5;"medium";"low";"low";1;"low";1
329;5;"medium";"medium";"low";1;"low";1
330;5;"medium";"high";"low";1;"low";1
331;5;"high";"low";"low";1;"low";1
332;5;"high";"medium";"low";1;"low";1
333;5;"high";"high";"low";1;"low";1
334;5;"low";"low";"low";1;"medium";2
335;5;"low";"medium";"low";1;"medium";2
336;5;"low";"high";"low";1;"medium";2
337;5;"medium";"low";"low";1;"medium";2
338;5;"medium";"medium";"low";1;"medium";2
339;5;"medium";"high";"low";1;"medium";2
340;5;"high";"low";"low";1;"medium";2
341;5;"high";"medium";"low";1;"medium";2
342;5;"high";"high";"low";1;"medium";2
343;5;"low";"low";"low";1;"high";2
344;5;"low";"medium";"low";1;"high";2
345;5;"low";"high";"low";1;"high";2
346;5;"medium";"low";"low";1;"high";2
347;5;"medium";"medium";"low";1;"high";2
348;5;"medium";"high";"low";1;"high";2
349;5;"high";"low";"low";1;"high";2
350;5;"high";"medium";"low";1;"high";2
351;5;"high";"high";"low";1;"high";2
352;5;"low";"low";"medium";6;"low";1
353;5;"low";"medium";"medium";6;"low";1
354;5;"low";"high";"medium";6;"low";1
355;5;"medium";"low";"medium";6;"low";1
356;5;"medium";"medium";"medium";6;"low";1
357;5;"medium";"high";"medium";6;"low";1
358;5;"high";"low";"medium";6;"low";1
359;5;"high";"medium";"medium";6;"low";1
360;5;"high";"high";"medium";6;"low";1
361;5;"low";"low";"medium";6;"medium";2
362;5;"low";"medium";"medium";6;"medium";2
363;5;"low";"high";"medium";6;"medium";2
364;5;"medium";"low";"medium";6;"medium";2
365;5;"medium";"medium";"medium";6;"medium";2
366;5;"medium";"high";"medium";6;"medium";2
367;5;"high";"low";"medium";6;"medium";2
368;5;"high";"medium";"medium";6;"medium";2
369;5;"high";"high";"medium";6;"medium";2
370;5;"low";"low";"medium";6;"high";2
371;5;"low";"medium";"medium";6;"high";2
372;5;"low";"high";"medium";6;"high";2
373;5;"medium";"low";"medium";6;"high";2
374;5;"medium";"medium";"medium";6;"high";2
375;5;"medium";"high";"medium";6;"high";2
376;5;"high";"low";"medium";6;"high";2
377;5;"high";"medium";"medium";6;"high";2
378;5;"high";"high";"medium";6;"high";2
379;5;"low";"low";"high";9;"low";1
380;5;"low";"medium";"high";9;"low";1
381;5;"low";"high";"high";9;"low";1
382;5;"medium";"low";"high";9;"low";1
383;5;"medium";"medium";"high";9;"low";1
384;5;"medium";"high";"high";9;"low";1
385;5;"high";"low";"high";9;"low";1
386;5;"high";"medium";"high";9;"low";1
387;5;"high";"high";"high";9;"low";1
388;5;"low";"low";"high";9;"medium";2
389;5;"low";"medium";"high";9;"medium";2
390;5;"low";"high";"high";9;"medium";2
391;5;"medium";"low";"high";9;"medium";2
392;5;"medium";"medium";"high";9;"medium";2
393;5;"medium";"high";"high";9;"medium";2
394;5;"high";"low";"high";9;"medium";2
395;5;"high";"medium";"high";9;"medium";2
396;5;"high";"high";"high";9;"medium";2
397;5;"low";"low";"high";9;"high";2
398;5;"low";"medium";"high";9;"high";2
399;5;"low";"high";"high";9;"high";2
400;5;"medium";"low";"high";9;"high";2
401;5;"medium";"medium";"high";9;"high";2
402;5;"medium";"high";"high";9;"high";2
403;5;"high";"low";"high";9;"high";2
404;5;"high";"medium";"high";9;"high";2
405;5;"high";"high";"high";9;"high";2
406;6;"low";"low";"low";4;"low";4
407;6;"low";"medium";"low";4;"low";4
408;6;"low";"high";"low";4;"low";4
409;6;"medium";"low";"low";4;"low";4
410;6;"medium";"medium";"low";4;"low";4
411;6;"medium";"high";"low";4;"low";4
412;6;"high";"low";"low";4;"low";4
413;6;"high";"medium";"low";4;"low";4
414;6;"high";"high";"low";4;"low";4
415;6;"low";"low";"low";4;"medium";88
416;6;"low";"medium";"low";4;"medium";88
417;6;"low";"high";"low";4;"medium";88
418;6;"medium";"low";"low";4;"medium";88
419;6;"medium";"medium";"low";4;"medium";88
420;6;"medium";"high";"low";4;"medium";88
421;6;"high";"low";"low";4;"medium";88
422;6;"high";"medium";"low";4;"medium";88
423;6;"high";"high";"low";4;"medium";88
424;6;"low";"low";"low";4;"high";73
425;6;"low";"medium";"low";4;"high";73
426;6;"low";"high";"low";4;"high";73
427;6;"medium";"low";"low";4;"high";73
428;6;"medium";"medium";"low";4;"high";73
429;6;"medium";"high";"low";4;"high";73
430;6;"high";"low";"low";4;"high";73
431;6;"high";"medium";"low";4;"high";73
432;6;"high";"high";"low";4;"high";73
433;6;"low";"low";"medium";19;"low";15
434;6;"low";"medium";"medium";19;"low";15
435;6;"low";"high";"medium";19;"low";15
436;6;"medium";"low";"medium";19;"low";15
437;6;"medium";"medium";"medium";19;"low";15
438;6;"medium";"high";"medium";19;"low";15
439;6;"high";"low";"medium";19;"low";15
440;6;"high";"medium";"medium";19;"low";15
441;6;"high";"high";"medium";19;"low";15
442;6;"low";"low";"medium";19;"medium";88
443;6;"low";"medium";"medium";19;"medium";88
444;6;"low";"high";"medium";19;"medium";88
445;6;"medium";"low";"medium";19;"medium";88
446;6;"medium";"medium";"medium";19;"medium";88
447;6;"medium";"high";"medium";19;"medium";88
448;6;"high";"low";"medium";19;"medium";88
449;6;"high";"medium";"medium";19;"medium";88
450;6;"high";"high";"medium";19;"medium";88
451;6;"low";"low";"medium";19;"high";74
452;6;"low";"medium";"medium";19;"high";74
453;6;"low";"high";"medium";19;"high";74
454;6;"medium";"low";"medium";19;"high";74
455;6;"medium";"medium";"medium";19;"high";74
456;6;"medium";"high";"medium";19;"high";74
457;6;"high";"low";"medium";19;"high";74
458;6;"high";"medium";"medium";19;"high";74
459;6;"high";"high";"medium";19;"high";74
460;6;"low";"low";"high";24;"low";12
461;6;"low";"medium";"high";24;"low";12
462;6;"low";"high";"high";24;"low";12
463;6;"medium";"low";"high";24;"low";12
464;6;"medium";"medium";"high";24;"low";12
465;6;"medium";"high";"high";24;"low";12
466;6;"high";"low";"high";24;"low";12
467;6;"high";"medium";"high";24;"low";12
468;6;"high";"high";"high";24;"low";12
469;6;"low";"low";"high";24;"medium";87
470;6;"low";"medium";"high";24;"medium";87
471;6;"low";"high";"high";24;"medium";87
472;6;"medium";"low";"high";24;"medium";87
473;6;"medium";"medium";"high";24;"medium";87
474;6;"medium";"high";"high";24;"medium";87
475;6;"high";"low";"high";24;"medium";87
476;6;"high";"medium";"high";24;"medium";87
477;6;"high";"high";"high";24;"medium";87
478;6;"low";"low";"high";24;"high";71
479;6;"low";"medium";"high";24;"high";71
480;6;"low";"high";"high";24;"high";71
481;6;"medium";"low";"high";24;"high";71
482;6;"medium";"medium";"high";24;"high";71
483;6;"medium";"high";"high";24;"high";71
484;6;"high";"low";"high";24;"high";71
485;6;"high";"medium";"high";24;"high";71
486;6;"high";"high";"high";24;"high";71
487;7;"low";"low";"low";2;"low";2
488;7;"low";"medium";"low";2;"low";2
489;7;"low";"high";"low";2;"low";2
490;7;"medium";"low";"low";2;"low";2
491;7;"medium";"medium";"low";2;"low";2
492;7;"medium";"high";"low";2;"low";2
493;7;"high";"low";"low";2;"low";2
494;7;"high";"medium";"low";2;"low";2
495;7;"high";"high";"low";2;"low";2
496;7;"low";"low";"low";2;"medium";28
497;7;"low";"medium";"low";2;"medium";28
498;7;"low";"high";"low";2;"medium";28
499;7;"medium";"low";"low";2;"medium";28
500;7;"medium";"medium";"low";2;"medium";28
501;7;"medium";"high";"low";2;"medium";28
502;7;"high";"low";"low";2;"medium";28
503;7;"high";"medium";"low";2;"medium";28
504;7;"high";"high";"low";2;"medium";28
505;7;"low";"low";"low";2;"high";32
506;7;"low";"medium";"low";2;"high";32
507;7;"low";"high";"low";2;"high";32
508;7;"medium";"low";"low";2;"high";32
509;7;"medium";"medium";"low";2;"high";32
510;7;"medium";"high";"low";2;"high";32
511;7;"high";"low";"low";2;"high";32
512;7;"high";"medium";"low";2;"high";32
513;7;"high";"high";"low";2;"high";32
514;7;"low";"low";"medium";13;"low";2
515;7;"low";"medium";"medium";13;"low";2
516;7;"low";"high";"medium";13;"low";2
517;7;"medium";"low";"medium";13;"low";2
518;7;"medium";"medium";"medium";13;"low";2
519;7;"medium";"high";"medium";13;"low";2
520;7;"high";"low";"medium";13;"low";2
521;7;"high";"medium";"medium";13;"low";2
522;7;"high";"high";"medium";13;"low";2
523;7;"low";"low";"medium";13;"medium";35
524;7;"low";"medium";"medium";13;"medium";35
525;7;"low";"high";"medium";13;"medium";35
526;7;"medium";"low";"medium";13;"medium";35
527;7;"medium";"medium";"medium";13;"medium";35
528;7;"medium";"high";"medium";13;"medium";35
529;7;"high";"low";"medium";13;"medium";35
530;7;"high";"medium";"medium";13;"medium";35
531;7;"high";"high";"medium";13;"medium";35
532;7;"low";"low";"medium";13;"high";30
533;7;"low";"medium";"medium";13;"high";30
534;7;"low";"high";"medium";13;"high";30
535;7;"medium";"low";"medium";13;"high";30
536;7;"medium";"medium";"medium";13;"high";30
537;7;"medium";"high";"medium";13;"high";30
538;7;"high";"low";"medium";13;"high";30
539;7;"high";"medium";"medium";13;"high";30
540;7;"high";"high";"medium";13;"high";30
541;7;"low";"low";"high";16;"low";11
542;7;"low";"medium";"high";16;"low";11
543;7;"low";"high";"high";16;"low";11
544;7;"medium";"low";"high";16;"low";11
545;7;"medium";"medium";"high";16;"low";11
546;7;"medium";"high";"high";16;"low";11
547;7;"high";"low";"high";16;"low";11
548;7;"high";"medium";"high";16;"low";11
549;7;"high";"high";"high";16;"low";11
550;7;"low";"low";"high";16;"medium";24
551;7;"low";"medium";"high";16;"medium";24
552;7;"low";"high";"high";16;"medium";24
553;7;"medium";"low";"high";16;"medium";24
554;7;"medium";"medium";"high";16;"medium";24
555;7;"medium";"high";"high";16;"medium";24
556;7;"high";"low";"high";16;"medium";24
557;7;"high";"medium";"high";16;"medium";24
558;7;"high";"high";"high";16;"medium";24
559;7;"low";"low";"high";16;"high";32
560;7;"low";"medium";"high";16;"high";32
561;7;"low";"high";"high";16;"high";32
562;7;"medium";"low";"high";16;"high";32
563;7;"medium";"medium";"high";16;"high";32
564;7;"medium";"high";"high";16;"high";32
565;7;"high";"low";"high";16;"high";32
566;7;"high";"medium";"high";16;"high";32
567;7;"high";"high";"high";16;"high";32
568;8;"low";"low";"low";1;"low";1
569;8;"low";"medium";"low";1;"low";1
570;8;"low";"high";"low";1;"low";1
571;8;"medium";"low";"low";1;"low";1
572;8;"medium";"medium";"low";1;"low";1
573;8;"medium";"high";"low";1;"low";1
574;8;"high";"low";"low";1;"low";1
575;8;"high";"medium";"low";1;"low";1
576;8;"high";"high";"low";1;"low";1
577;8;"low";"low";"low";1;"medium";60
578;8;"low";"medium";"low";1;"medium";60
579;8;"low";"high";"low";1;"medium";60
580;8;"medium";"low";"low";1;"medium";60
581;8;"medium";"medium";"low";1;"medium";60
582;8;"medium";"high";"low";1;"medium";60
583;8;"high";"low";"low";1;"medium";60
584;8;"high";"medium";"low";1;"medium";60
585;8;"high";"high";"low";1;"medium";60
586;8;"low";"low";"low";1;"high";71
587;8;"low";"medium";"low";1;"high";71
588;8;"low";"high";"low";1;"high";71
589;8;"medium";"low";"low";1;"high";71
590;8;"medium";"medium";"low";1;"high";71
591;8;"medium";"high";"low";1;"high";71
592;8;"high";"low";"low";1;"high";71
593;8;"high";"medium";"low";1;"high";71
594;8;"high";"high";"low";1;"high";71
595;8;"low";"low";"medium";15;"low";23
596;8;"low";"medium";"medium";15;"low";23
597;8;"low";"high";"medium";15;"low";23
598;8;"medium";"low";"medium";15;"low";23
599;8;"medium";"medium";"medium";15;"low";23
600;8;"medium";"high";"medium";15;"low";23
601;8;"high";"low";"medium";15;"low";23
602;8;"high";"medium";"medium";15;"low";23
603;8;"high";"high";"medium";15;"low";23
604;8;"low";"low";"medium";15;"medium";61
605;8;"low";"medium";"medium";15;"medium";61
606;8;"low";"high";"medium";15;"medium";61
607;8;"medium";"low";"medium";15;"medium";61
608;8;"medium";"medium";"medium";15;"medium";61
609;8;"medium";"high";"medium";15;"medium";61
610;8;"high";"low";"medium";15;"medium";61
611;8;"high";"medium";"medium";15;"medium";61
612;8;"high";"high";"medium";15;"medium";61
613;8;"low";"low";"medium";15;"high";69
614;8;"low";"medium";"medium";15;"high";69
615;8;"low";"high";"medium";15;"high";69
616;8;"medium";"low";"medium";15;"high";69
617;8;"medium";"medium";"medium";15;"high";69
618;8;"medium";"high";"medium";15;"high";69
619;8;"high";"low";"medium";15;"high";69
620;8;"high";"medium";"medium";15;"high";69
621;8;"high";"high";"medium";15;"high";69
622;8;"low";"low";"high";20;"low";11
623;8;"low";"medium";"high";20;"low";11
624;8;"low";"high";"high";20;"low";11
625;8;"medium";"low";"high";20;"low";11
626;8;"medium";"medium";"high";20;"low";11
627;8;"medium";"high";"high";20;"low";11
628;8;"high";"low";"high";20;"low";11
629;8;"high";"medium";"high";20;"low";11
630;8;"high";"high";"high";20;"low";11
631;8;"low";"low";"high";20;"medium";79
632;8;"low";"medium";"high";20;"medium";79
633;8;"low";"high";"high";20;"medium";79
634;8;"medium";"low";"high";20;"medium";79
635;8;"medium";"medium";"high";20;"medium";79
636;8;"medium";"high";"high";20;"medium";79
637;8;"high";"low";"high";20;"medium";79
638;8;"high";"medium";"high";20;"medium";79
639;8;"high";"high";"high";20;"medium";79
640;8;"low";"low";"high";20;"high";79
641;8;"low";"medium";"high";20;"high";79
642;8;"low";"high";"high";20;"high";79
643;8;"medium";"low";"high";20;"high";79
644;8;"medium";"medium";"high";20;"high";79
645;8;"medium";"high";"high";20;"high";79
646;8;"high";"low";"high";20;"high";79
647;8;"high";"medium";"high";20;"high";79
648;8;"high";"high";"high";20;"high";79
649;9;"low";"low";"low";2;"low";3
650;9;"low";"medium";"low";2;"low";3
