#dataset_conf_id,iter_no,pso_time,pso_to_task_time,objectives,time,objectives
95,4,3219,0,2.3592493298,2129,2.1759656652
95,5,3318,0,2.3819742489,2142,2.0924369748
95,6,3520,0,2.0294906166,2076,2.0987124464
95,7,3004,0,2.4285714286,2112,2.0890052356
95,8,3238,0,2.3592493298,2100,2.0857908847
95,9,2977,0,2.0294906166,2119,2.149122807
96,0,9629,0,1.4797979798,2103,1.3855932203
96,1,3184,0,2.039408867,2105,1.3295454545
96,2,3143,0,2.263546798,2133,1.3560606061
96,3,3660,0,1.3409090909,2084,1.3851010101
96,4,3167,0,1.3724747475,2146,1.3855932203
96,5,3499,0,1.3712121212,2135,1.3978159126
96,6,3157,0,1.3724747475,2105,1.3743842365
96,7,3159,0,1.9703389831,2084,1.3855932203
96,8,3188,0,1.4797979798,2072,1.3522727273
96,9,3662,1,1.3078817734,2091,1.4570707071
97,0,10493,0,7.84,2055,8.0511627907
97,1,3817,0,8.945,2060,7.911627907
97,2,3620,0,7.7674418605,2058,7.9488372093
97,3,3144,0,7.875,2073,8.2727272727
97,4,3346,0,8.945,2041,8.235
97,5,3630,0,7.875,2065,8.5674418605
97,6,3167,0,7.88,2031,7.935
97,7,3440,0,7.875,2040,7.885
97,8,3839,0,7.8418604651,2032,8.195
97,9,3724,0,7.765,2060,7.8896103896
98,0,3103,0,1.0870337478,2129,1.0586145648
98,1,2740,0,1.0870337478,2080,1.0639431616
98,2,2563,0,1.0870337478,2088,1.091588785
98,3,2565,0,1.0878504673,2101,1.1533180778
98,4,2827,0,1.0870337478,2120,1.037037037
98,5,2795,0,1.0870337478,2114,1.1152263374
98,6,3144,0,1.0870337478,2129,1.0674955595
98,7,2670,0,1.0635514019,2121,1.1234567901
98,8,2601,0,1.0905349794,2093,1.0480549199
98,9,3918,0,1.0905349794,2087,1.0843621399
99,0,3179,0,1.9407894737,2129,2.0186915888
99,1,2787,0,2.1513157895,2087,2.0046728972
99,2,2892,0,2.1396011396,2086,1.9615384615
99,3,2871,0,2.1666666667,2106,2.0170940171
99,4,2898,0,2.1513157895,2121,2.0982905983
99,5,2909,0,2.1513157895,2066,1.9871794872
99,6,3363,0,1.9343629344,2085,2.1210526316
99,7,3411,0,2.1513157895,2112,2.0490654206
99,8,2864,0,2.7407894737,2064,1.9575289575
99,9,3384,0,1.9301994302,2080,2.0193050193
100,0,3916,0,1.6896551724,2195,1.7289156627
100,1,3437,0,1.7844827586,2166,1.6734693878
100,2,4029,0,1.7891156463,2196,1.7820512821
100,3,4032,0,2.0284552846,2232,1.7073170732
100,4,3680,0,1.7820512821,2154,1.7051282051
100,5,3500,0,1.6707317073,2206,1.6666666667
100,6,3658,0,1.6686746988,2257,1.7409638554
100,7,3461,0,1.9714285714,2167,1.6951219512
100,8,3137,0,1.7891156463,2202,1.6686746988
100,9,3123,0,1.7891156463,2274,1.7289156627
101,0,3542,0,0.7558770344,2190,0.746835443
101,1,3469,0,0.7974683544,2172,0.7305389222
101,2,3504,0,0.9383561644,2169,0.7945205479
101,3,3799,0,0.6906077348,2172,0.7594936709
101,4,3732,0,0.9710144928,2130,0.7884057971
101,5,3894,0,0.7188405797,2163,0.73960217
101,6,4050,1,0.9383561644,2180,0.7817679558
101,7,4093,0,0.7215189873,2151,0.7304347826
101,8,3057,0,0.9130434783,2166,0.7855072464
101,9,2888,0,0.8933092224,2183,0.7945205479
102,0,3500,0,0.6009174312,2225,0.5013550136
102,1,4357,0,0.6621823617,2159,0.4959349593
102,2,4149,0,0.5284552846,2126,0.5127055306
102,3,3461,0,0.5531914894,2153,0.4688346883
102,4,3298,0,0.6766020864,2167,0.5067264574
102,5,3086,0,0.5529061103,2222,0.4959349593
102,6,3931,0,0.5799701046,2214,0.553064275
102,7,3605,0,0.4609929078,2213,0.5007451565
102,8,3480,0,0.4609929078,2228,0.4694485842
102,9,3669,0,0.4587155963,2233,0.5335320417
103,0,3875,0,3.7789473684,2128,3.6516853933
103,1,4144,0,3.4163265306,2115,3.1930693069
103,2,3438,0,6.7741935484,2112,3.5280898876
103,3,2956,0,6.2741935484,2154,3.9775280899
103,4,2637,0,18.037037037,2114,3.3910891089
103,5,3267,0,4.8571428571,2156,3.4245614035
103,6,3367,0,16.4516129032,2096,3.3861386139
103,7,3369,0,3.4163265306,2173,3.4421052632
103,8,3244,0,14.8514851485,2098,3.3613861386
103,9,3933,0,3.0408163265,2122,3.5789473684
104,0,4303,0,1.2704545455,2197,1.2924187726
104,1,2942,0,1.4741573034,2194,1.225631769
104,2,3776,0,1.5640243902,2190,1.3114119923
104,3,2812,0,1.4025270758,2117,1.34
104,4,3069,0,1.3926499033,2129,1.2671480144
104,5,3229,0,1.1981707317,2147,1.2469512195
104,6,3601,0,1.4945848375,2143,1.2204545455
104,7,3536,0,1.6798780488,2133,1.295
104,8,3886,0,1.1605415861,2215,1.28
104,9,3743,0,1.1463414634,2150,1.2520325203
105,0,2844,0,1.4217252396,2103,1.4609375
105,1,3117,0,1.7338003503,2090,1.6028368794
105,2,3101,0,1.4217252396,2094,1.4859375
105,3,2636,0,7.28,2094,1.5367412141
105,4,3299,0,2.7320490368,2144,1.4573643411
105,5,2724,0,2.284375,2122,1.524822695
105,6,2638,0,5.3,2108,1.4483362522
105,7,2948,0,1.9976359338,2097,1.4816112084
105,8,3755,0,1.4217252396,2081,1.5546875
105,9,2695,0,2.0625,2148,1.5921875
106,0,3588,1,7.875,2176,5.7442922374
106,1,3516,0,5.9708737864,2206,5.8356164384
106,2,3876,0,7.4417475728,2219,5.5291262136
106,3,3181,0,5.2888888889,2186,5.6336633663
106,4,3383,0,5.5227272727,2140,5.84375
106,5,3218,0,5.4777777778,2195,6.2871287129
106,6,3484,0,6.8316831683,2175,6.0234375
106,7,3156,0,5.3459459459,2175,5.8173515982
106,8,4468,0,5.7524752475,2193,5.6216216216
106,9,3562,0,5.4063926941,2118,5.9888888889
107,0,3638,0,1.799522673,2213,2.1062801932
107,1,3940,0,1.8019323671,2173,1.8739495798
107,2,4298,0,1.9963099631,2261,1.9446494465
107,3,3515,0,2.8151041667,2195,1.8612903226
107,4,2845,0,6.875,2177,1.9331742243
107,5,3420,0,2.861575179,2227,1.8739495798
107,6,3415,0,1.8019323671,2186,1.8932291667
107,7,3321,0,2.8151041667,2180,1.8359375
107,8,3754,0,2.0381861575,2209,1.9230769231
107,9,3714,0,1.9331742243,2223,1.9230769231
108,0,3944,1,1.0565583634,2202,1.2263681592
108,1,4318,0,1.0086206897,2182,1.1578249337
108,2,3287,0,1.1514778325,2204,1.1679049034
108,3,4046,0,1.2524630542,2242,1.1445623342
108,4,3444,0,1.0842358604,2237,1.1903448276
108,5,4142,0,1.294205052,2205,1.087667162
108,6,3854,0,1.0549777117,2273,1.1732851986
108,7,3739,0,1.2290640394,2144,1.1251504212
108,8,3737,0,1.1502463054,2256,1.1971326165
108,9,4490,0,1.4248768473,2234,1.1206896552
109,0,2978,0,8.8072916667,3113,8.8020833333
109,1,3260,0,8.8072916667,3115,8.8020833333
109,2,3884,0,8.8072916667,3106,8.8020833333
109,3,4392,0,8.8072916667,3135,8.8020833333
109,4,4219,0,8.8072916667,3114,8.8020833333
109,5,3317,0,8.8072916667,3121,8.8020833333
109,6,3644,0,8.8072916667,3133,8.8020833333
109,7,3547,0,8.8072916667,3094,8.8020833333
109,8,3214,0,8.8072916667,3115,8.8020833333
109,9,3129,0,8.8072916667,3121,8.8020833333
110,0,3210,0,3.3357664234,3138,3.3327137546
110,1,2973,0,3.3357664234,3212,3.3327137546
110,2,3407,0,3.3357664234,3137,3.3327137546
110,3,3785,0,3.3357664234,3129,3.3327137546
110,4,3793,0,3.3357664234,3113,3.3327137546
110,5,3546,0,3.3357664234,3138,3.3327137546
110,6,3551,0,3.3357664234,3133,3.3327137546
110,7,3146,0,3.3357664234,3146,3.3327137546
110,8,2905,0,3.3357664234,3122,3.3327137546
110,9,3819,0,3.3357664234,3140,3.3327137546
111,0,3420,0,2.8146718147,3100,2.8133848134
111,1,3223,0,2.8146718147,3094,2.8133848134
111,2,3218,0,2.8146718147,3088,2.8133848134
111,3,3763,0,2.8146718147,3096,2.8133848134
111,4,3212,0,2.8146718147,3087,2.8133848134
111,5,3406,0,2.8146718147,3083,2.8133848134
111,6,3679,0,2.8146718147,3102,2.8133848134
111,7,2804,0,2.8146718147,3091,2.8133848134
111,8,2720,0,2.8146718147,3088,2.8133848134
111,9,4489,0,2.8146718147,3098,2.8133848134
112,0,3682,0,19.5828220859,3121,19.5766871166
112,1,3336,0,19.5828220859,3115,19.5766871166
112,2,3658,0,19.5828220859,3128,19.5766871166
112,3,3928,0,19.5828220859,3122,19.5766871166
112,4,3428,0,19.5828220859,3114,19.5766871166
112,5,3380,0,19.5828220859,3247,19.5766871166
112,6,3571,0,19.5828220859,3212,19.5766871166
112,7,3404,0,19.5828220859,3126,19.5766871166
112,8,3513,0,19.5828220859,3119,19.5766871166
112,9,3468,0,19.5828220859,3154,19.5766871166
113,0,3151,0,46.796875,3103,46.75
113,1,4202,0,46.796875,3076,46.75
113,2,3553,0,46.796875,3071,46.75
113,3,3298,0,46.796875,3079,46.75
113,4,3753,0,46.796875,3065,46.75
113,5,3518,0,46.796875,3102,46.765625
113,6,3902,0,46.796875,3082,46.75
113,7,4207,0,46.796875,3076,46.765625
113,8,3835,0,46.796875,3114,46.75
113,9,6964,0,46.796875,3112,46.75
114,0,3278,0,10.2354948805,3153,10.2389078498
114,1,2990,0,10.2354948805,3188,10.2354948805
114,2,3197,0,10.2354948805,3153,10.2354948805
114,3,3647,0,10.2354948805,3359,10.2354948805
114,4,2937,0,10.2354948805,3177,10.2354948805
114,5,3494,0,10.2354948805,3181,10.2354948805
114,6,2950,0,10.2354948805,3216,10.2389078498
114,7,2801,0,10.2354948805,3127,10.2354948805
114,8,3296,0,10.2354948805,3130,10.2354948805
114,9,3356,0,10.2354948805,3123,10.2354948805
115,0,3666,0,41.4,3136,41.4
115,1,4116,0,41.4,3164,41.4
115,2,3699,0,41.4,3128,41.4
115,3,3646,0,41.4,3122,41.408
115,4,3877,0,41.4,3136,41.4
115,5,3758,0,41.408,3138,41.4
115,6,3147,0,41.408,3192,41.4
115,7,2733,0,41.408,3148,41.4
115,8,3213,0,41.4,3113,41.4
115,9,2904,0,41.408,3133,41.4
116,0,3465,0,15.2625,3083,15.26
116,1,3288,0,15.2625,3089,15.265
116,2,3120,0,15.2625,3091,15.265
116,3,3350,0,15.2625,3202,15.26
116,4,3769,0,15.2625,3127,15.2625
116,5,3524,0,15.2625,3117,15.2625
116,6,3228,0,15.2625,3095,15.26
116,7,2716,0,15.2625,3096,15.26
116,8,2754,0,15.2625,3093,15.2625
116,9,3260,0,15.2625,3092,15.26
117,0,4289,0,12.5582655827,3173,12.5568862275
117,1,3231,0,12.5582655827,3112,12.5568862275
117,2,3990,0,12.5582655827,3100,12.5568862275
117,3,2917,0,12.5582655827,3106,12.5568862275
117,4,3338,0,12.5582655827,3136,12.5582655827
117,5,3356,0,12.5582655827,3239,12.5568862275
117,6,3031,0,12.5582655827,3100,12.5568862275
117,7,3051,0,12.5582655827,3102,12.5568862275
117,8,3366,0,12.5582655827,3131,12.5568862275
117,9,3725,0,12.5582655827,3117,12.5568862275
118,0,5534,0,3.9718309859,3605,3.9705882353
118,1,6056,0,3.9887640449,3675,4.1126760563
118,2,5358,0,3.9887640449,3581,4.014084507
118,3,4495,0,4.6,3665,4
118,4,5330,0,3.9718309859,3715,4.0352112676
118,5,5586,0,4.514084507,3602,4.0504201681
118,6,4880,0,3.9887640449,3681,4.18
118,7,4733,0,3.9705882353,3590,4.01
118,8,5157,0,3.9887640449,3596,4.0866666667
118,9,5751,0,4.6,3737,4.0266666667
119,0,4637,0,1.73283859,3667,1.4426229508
119,1,4740,0,1.5291828794,3557,1.406614786
119,2,4142,0,1.8657587549,3570,1.4864864865
119,3,4876,0,1.560296846,3570,1.393442623
119,4,5711,0,2.2315175097,3558,1.4005167959
119,5,4387,0,1.9098360656,3572,1.4007782101
119,6,4639,0,1.560296846,3549,1.4916512059
119,7,5363,0,2.5933014354,3670,1.4359925788
119,8,4506,0,1.3988868275,3572,1.3951762523
119,9,4280,0,1.7081339713,3527,1.456284153
120,0,4251,0,0.8943298969,3648,0.8883248731
120,1,5134,0,0.9677835052,3520,0.8713450292
120,2,4426,0,0.9265463918,3628,0.8603839442
120,3,4925,0,0.9059278351,3531,0.8466494845
120,4,5104,0,0.8711340206,3606,0.8429319372
120,5,5004,0,0.8608247423,3620,0.8730964467
120,6,5464,0,0.9677835052,3584,0.8543814433
120,7,4510,0,0.8698453608,3600,0.9136597938
120,8,4130,0,1.1855670103,3572,0.8569587629
120,9,5392,0,0.9677835052,3552,0.831185567
121,0,4933,0,5.1341463415,3530,4.1434782609
121,1,5885,0,4.0537634409,3521,4.2142857143
121,2,4898,0,4.0816326531,3494,4.1748251748
121,3,5937,0,4.6,3504,4.2027972028
121,4,5517,0,4.2407407407,3432,4.1748251748
121,5,4640,0,4.4335664336,3556,4.243902439
121,6,6038,0,5.4408602151,3543,4.2086956522
121,7,5848,0,4.0537634409,3518,4.2285714286
121,8,5619,0,4.0537634409,3518,4.2731481481
121,9,4988,0,4.2407407407,3578,4.3107142857
122,0,4135,0,4.4736842105,3578,3.4126315789
122,1,4116,0,3.68,3531,3.3557894737
122,2,5807,0,4.3978947368,3562,3.2576687117
122,3,5462,0,3.3578947368,3521,3.3157894737
122,4,4897,0,3.68,3519,3.4210526316
122,5,5121,0,4.9621212121,3511,3.3087818697
122,6,5193,0,3.4052631579,3526,3.3894736842
122,7,4910,0,3.68,3541,3.4126315789
122,8,4680,0,4.3557894737,3507,3.5214723926
122,9,4431,0,4.3557894737,3536,3.3558282209
123,0,4564,0,1.6470588235,3586,1.744813278
123,1,4879,0,1.7332155477,3526,1.6865079365
123,2,5862,0,1.6483739837,3554,1.7137809187
123,3,5363,0,1.648409894,3558,1.8132780083
123,4,5530,0,1.9817073171,3538,1.6788617886
123,5,4542,0,1.6484593838,3525,1.7619047619
123,6,5122,0,1.7332155477,3512,1.6974789916
123,7,4529,0,1.9854771784,3508,1.6918604651
123,8,5855,0,1.6484593838,3580,1.6869918699
123,9,4927,0,1.648409894,3564,1.6974789916
124,0,6105,0,8.3059360731,3552,8.0684931507
124,1,4882,0,8.303030303,3539,7.96812749
124,2,5348,0,7.797979798,3490,8.0916334661
124,3,4626,0,7.7857142857,3544,8.1274900398
124,4,4849,0,8.9634703196,3550,7.9282511211
124,5,4166,0,8.9442231076,3461,8.3424657534
124,6,4491,0,8.297979798,3463,8.0438247012
124,7,4585,0,7.7698412698,3532,8.0202020202
124,8,4557,0,8.2988047809,3519,8.1797752809
124,9,5947,0,9.7525252525,3530,8.2182539683
125,0,4557,0,3.6573426573,3489,3.5948275862
125,1,5110,0,4.1994047619,3479,3.5361305361
125,2,5087,0,3.3244047619,3515,3.5675057208
125,3,5435,0,3.3298969072,3492,3.4242424242
125,4,4659,0,3.6573426573,3510,3.5511363636
125,5,4591,0,4.5928030303,3502,3.4848484848
125,6,5773,0,3.3298969072,3432,3.4345238095
125,7,4380,0,3.6573426573,3519,3.5922619048
125,8,4868,0,3.6573426573,3441,3.5189393939
125,9,5408,0,4.0744047619,3453,3.5102040816
126,0,4180,0,14.5245901639,3462,4.0376670717
126,1,5580,0,4.1981308411,3480,4.0949367089
126,2,4737,0,4.8242990654,3465,4.0363036304
126,3,4688,0,4.1981308411,3423,4.0461997019
126,4,4461,0,3.9794392523,3475,3.9438943894
126,5,5542,0,6.4488448845,3477,4.0060753341
126,6,4535,0,5.8602673147,3493,3.9623329283
126,7,4568,0,4.1981308411,3460,4.0704738761
126,8,4272,0,5.8602673147,3467,3.9161603888
126,9,4653,0,4.1981308411,3490,3.9768976898
127,0,6179,0,2.6780821918,3543,2.6712328767
127,1,5238,0,2.7682926829,3601,2.5086956522
127,2,6657,0,2.4520547945,3568,2.5759717314
127,3,5300,0,2.8763250883,3567,2.5512367491
127,4,5238,0,2.6749116608,3570,2.512195122
127,5,4955,0,2.6780821918,3484,2.602739726
127,6,6643,0,3.925795053,3506,2.5647058824
127,7,5143,0,2.964664311,3548,2.5724381625
127,8,5341,0,2.8763250883,3555,2.5609756098
127,9,5695,0,2.7782608696,3567,2.5079365079
128,0,4136,0,1.8341232227,3608,2.1149425287
128,1,4704,0,1.4875,3594,1.5781990521
128,2,4688,0,1.5796064401,3643,1.4774535809
128,3,4998,0,2.2778793419,3601,1.4753199269
128,4,5967,0,1.649867374,3709,1.5198938992
128,5,4533,0,2.5411334552,3651,1.4562334218
128,6,4166,0,2.2015915119,3617,1.5100548446
128,7,4265,0,1.8135283364,3620,1.5275
128,8,5019,0,1.5796064401,3648,1.5008944544
128,9,4455,0,2.3619744059,3617,1.4597495528
129,0,6000,0,0.7272727273,3675,0.7848605578
129,1,5246,0,0.726044226,3697,0.7583643123
129,2,5000,0,0.780876494,3707,0.7714987715
129,3,5177,0,0.7806451613,3685,0.7470119522
129,4,4159,0,0.9661354582,3660,0.7465940054
129,5,4485,0,0.8708439898,3711,0.7729083665
129,6,5323,0,0.8032258065,3714,0.7589641434
129,7,5099,0,0.8708439898,3711,0.7549800797
129,8,5136,0,0.7270916335,3706,0.7695167286
129,9,4692,0,0.9656019656,3704,0.7697368421
130,0,4547,0,7.5230769231,3583,6.020979021
130,1,5679,0,6.0604026846,3538,6.3529411765
130,2,4700,0,6.0615384615,3594,6.1140939597
130,3,4941,0,7.2674418605,3595,6.0536912752
130,4,4634,0,7.389261745,3572,6.3355704698
130,5,5416,0,5.7027027027,3563,6.0290697674
130,6,4850,0,7.3216783217,3513,6.0425531915
130,7,6355,0,6.8538461538,3580,5.9923076923
130,8,5800,0,6.0536912752,3595,6.3
130,9,4604,0,6.0559440559,3559,6.0634920635
131,0,5006,0,4.6114457831,3651,2.6631205674
131,1,4805,0,3.0892448513,3640,2.747311828
131,2,4123,0,3.6837349398,3623,2.6964285714
131,3,5780,0,2.8252688172,3622,2.6910755149
131,4,4713,0,2.8226950355,3767,2.7078313253
131,5,5648,0,2.7780320366,3697,2.6804597701
131,6,4755,0,2.8252688172,3724,2.6985815603
131,7,4725,0,4.3279569892,3779,2.7770114943
131,8,4116,0,11.3333333333,3808,2.8387096774
131,9,4359,0,3.6837349398,3749,2.6407322654
132,0,4928,0,2.3099630996,3954,1.7189542484
132,1,5382,0,2.2931392931,3779,1.7613776138
132,2,5014,0,2.0455104551,3872,1.7581699346
132,3,4861,0,2.454248366,3818,1.7589453861
132,4,5057,0,2.393603936,3802,1.7422037422
132,5,4987,0,1.8216482165,3824,1.7527675277
132,6,5424,0,1.7212806026,3766,1.7382297552
132,7,4548,0,2.3099630996,3761,1.8610086101
132,8,6142,0,2.114379085,3750,1.7512953368
132,9,5066,0,2.7035670357,3804,1.7777777778
133,0,5492,0,6.7207792208,3656,5.8051948052
133,1,6385,0,5.4708333333,3664,5.825
133,2,4569,0,5.5791666667,3588,5.8541666667
133,3,5017,0,6.275,3590,5.775
133,4,4742,0,10.2304526749,3601,5.7490774908
133,5,4937,0,5.5637860082,3693,5.9040590406
133,6,5281,0,5.4708333333,3548,5.825
133,7,4358,0,6.7490774908,3543,6.0700934579
133,8,5863,0,5.4708333333,3650,5.7011070111
133,9,4568,0,6.9333333333,3607,6.1666666667
134,0,5194,0,4.358,3705,3.1247058824
134,1,4820,0,3.5693215339,3738,3.1604278075
134,2,4717,0,3.5952941176,3702,3.144
134,3,4341,0,5.1887905605,3687,3.0589970501
134,4,4760,0,3.2727272727,3716,3.01179941
134,5,5040,0,3.2727272727,3676,3.128342246
134,6,4811,1,3.28,3692,3.1518324607
134,7,5803,0,3.718,3661,3.1237373737
134,8,5777,0,3.2684365782,3742,3.0808080808
134,9,5058,0,3.2727272727,3701,3.1363636364
135,0,4241,0,19.7272727273,3568,3.6208530806
135,1,3722,0,17.7203389831,3565,3.6403326403
135,2,4650,0,4.9721549637,3644,4.6949152542
135,3,4498,0,4.9721549637,3605,3.6470588235
135,4,5745,0,8.0748440748,3650,4.6949152542
135,5,6152,0,5.1452784504,3577,3.6470588235
135,6,5171,0,7.6838709677,3558,4.1176470588
135,7,4931,0,5.1452784504,3575,3.6150121065
135,8,3970,0,20.1161290323,3576,3.7288135593
135,9,4330,0,6.0496368039,3661,3.5847457627
145,0,9208,0,7.0099009901,6638,6.801980198
145,1,8606,0,7.3725490196,6647,6.7770700637
145,2,8182,0,7.0098039216,6709,6.7258687259
145,3,8224,0,6.637254902,6633,6.7777777778
145,4,7747,0,7.0099009901,6593,6.694980695
145,5,9095,0,8.4840764331,6627,6.6764705882
145,6,8100,0,7.0098039216,6597,6.6732673267
145,7,8643,0,6.637254902,6657,6.8223938224
145,8,8642,0,7.0099009901,6587,6.7133757962
145,9,8037,0,7.8223938224,6682,6.7261146497
146,0,8019,0,3.4907749077,6433,3.4329004329
146,1,8387,0,3.4891774892,6443,3.4409594096
146,2,7152,0,3.7183406114,6426,3.4272076372
146,3,7627,0,3.4891774892,6444,3.4415274463
146,4,9701,0,4.7159904535,6448,3.4280442804
146,5,8007,0,3.4891774892,6469,3.4200477327
146,6,8277,0,3.4891774892,6426,3.4583333333
146,7,8289,0,3.4889298893,6417,3.4243542435
146,8,10485,0,3.4891774892,6440,3.4242424242
146,9,9668,0,3.4891774892,6412,3.4301310044
147,0,9894,0,2.3382352941,6428,2.3550420168
147,1,8855,0,2.3382352941,6434,2.3508403361
147,2,8357,0,2.6743648961,6398,2.3779264214
147,3,9358,0,2.3375796178,6384,2.363449692
147,4,11232,0,2.3375796178,6416,2.3846153846
147,5,8743,0,2.3382352941,6426,2.3697478992
147,6,9194,0,2.3388090349,6426,2.3741339492
147,7,8982,0,2.3388090349,6447,2.3577235772
147,8,11233,0,2.3377926421,6442,2.3712374582
147,9,8851,0,2.3375796178,6416,2.372611465
148,0,7432,0,20.1555555556,6477,18.3222222222
148,1,8847,0,20.3269961977,6442,18.0192307692
148,2,10226,0,19.463878327,6456,18.1977186312
148,3,9417,1,19.463878327,6467,18.2926829268
148,4,8029,0,20.1555555556,6458,17.9512195122
148,5,9062,0,17.8444444444,6475,18.0684410646
148,6,8318,0,17.8441558442,6440,18
148,7,8664,0,20.6071428571,6455,18.0380228137
148,8,7691,0,23.9821428571,6460,18.25
148,9,9859,0,19.463878327,6458,17.9777777778
149,0,8153,0,5.9693877551,6389,6.0512048193
149,1,9434,0,5.9711538462,6336,6.0899122807
149,2,8548,0,5.96875,6372,6.0789473684
149,3,8651,0,5.9711538462,6340,6.1136950904
149,4,8963,0,5.9711538462,6351,6.0255102041
149,5,9767,0,5.9715762274,6351,6.0801033592
149,6,8705,1,5.9728915663,6274,6.1121794872
149,7,9906,0,5.96875,6332,6.0663265306
149,8,9680,0,5.976744186,6401,6.0753012048
149,9,9760,0,5.96875,6331,6.0206718346
150,0,8191,0,3.3724832215,6464,3.4282051282
150,1,7581,0,4.4102564103,6555,3.4217391304
150,2,8522,0,3.625,6501,3.4076923077
150,3,8329,0,4.4099378882,6503,3.4051282051
150,4,8275,0,3.3705128205,6525,3.4423076923
150,5,7935,0,3.7492753623,6480,3.4463768116
150,6,9499,0,3.3709016393,6458,3.4333333333
150,7,8467,0,3.625,6426,3.4217391304
150,8,9578,0,4.0692307692,6480,3.4472049689
150,9,11216,0,3.3692307692,6433,3.380952381
151,0,8825,0,18.0812182741,6415,17.9383886256
151,1,8667,0,18.6345177665,6301,17.9949238579
151,2,7589,0,18.6345177665,6349,17.9945945946
151,3,8764,0,23.8530805687,6345,17.8121827411
151,4,9776,0,17.807106599,6358,18.4583333333
151,5,8643,0,18.6345177665,6347,17.9847715736
151,6,7207,0,18.6345177665,6324,17.9492385787
151,7,9388,0,17.7621621622,6316,18.0203045685
151,8,7549,0,25.421319797,6395,17.8274111675
151,9,7647,0,18.6345177665,6238,18
152,0,9803,0,12.8287671233,6489,11.6373831776
152,1,8092,0,13.6859813084,6510,12.2916666667
152,2,9665,0,11.5550458716,6522,11.7385321101
152,3,9354,0,13.6859813084,6472,11.6277777778
152,4,7425,0,12.9028037383,6481,11.5183486239
152,5,9699,0,11.5547945205,6452,11.6164383562
152,6,8346,0,13.6878504673,6463,11.6205607477
152,7,7987,0,15.6166666667,6455,11.4862385321
152,8,8245,0,13.6861111111,6614,11.6506849315
152,9,8925,0,11.5547945205,6483,11.5813084112
153,0,8300,0,6.6942771084,6457,6.8924302789
153,1,8983,0,6.6958083832,6472,6.7664670659
153,2,9012,0,7.2304216867,6523,6.8790419162
153,3,10850,0,7.0395209581,6499,6.7936746988
153,4,7123,0,7.813253012,6504,6.7740963855
153,5,8444,0,7.1069277108,6472,6.7856287425
153,6,8078,0,7.8299401198,6451,6.7664670659
153,7,7330,0,7.8119760479,6547,6.7724425887
153,8,8566,0,7.813253012,6465,6.8100208768
153,9,9286,0,7.8299401198,6482,6.7729083665
154,0,10007,0,6.3103448276,6303,6.4285714286
154,1,10844,0,6.3097345133,6328,6.367816092
154,2,8286,0,6.3097345133,6357,6.3839285714
154,3,9347,0,6.8318584071,6276,6.3539823009
154,4,7857,0,6.308411215,6268,6.4411764706
154,5,9030,0,6.3088235294,6295,6.3716475096
154,6,9337,0,6.308411215,6298,6.3982300885
154,7,7897,0,6.3097345133,6262,6.3982300885
154,8,8038,0,6.3088235294,6289,6.3620689655
154,9,7937,0,7.9241071429,6315,6.3628318584
155,0,8199,0,2.3280182232,6348,2.4131274131
